num,family,status,P_ours,shape,lit_period,lit_sources,lit_status,sbdb_period,novelty
7463,main belt,CANDIDATE,12.6112,1P,,,VIRGIN,,FIRST-DETERMINATION
7588,main belt,CANDIDATE,17.7,1P,35.3875,Cellino+2024;Ďurech&Hanuš2023,PUBLISHED_AGREEING,35.3867,HARMONIC-RESOLUTION
7605,main belt,CONFIRMED,11.9368,2P,,,VIRGIN,,FIRST-DETERMINATION
7607,Hoffmeister,CONFIRMED,38.774,2P,,,VIRGIN,,FIRST-DETERMINATION
7612,Veritas,CONFIRMED,13.0243,1P,26.0330,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
7631,main belt (survey),CANDIDATE,102.6636,2P,103.07,MPB 53-3,PUBLISHED_SINGLE,,CONFIRMATION
7887,main belt,CONFIRMED,55.856,1P,,,VIRGIN,,FIRST-DETERMINATION
8049,Koronis,CONFIRMED,3.214,2P,3.2114,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,CONFIRMATION
8168,main belt (survey),CONFIRMED,3.516,1P,7.035,MPB 52-3,PUBLISHED_SINGLE,,CONFIRMATION
8265,main belt,CONFIRMED,89.552,2P,,,VIRGIN,,FIRST-DETERMINATION
8294,main belt,CANDIDATE,3.2408,2P,3.2407,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
8450,Padua,CONFIRMED,5.306,2P,,,VIRGIN,,FIRST-DETERMINATION
8602,main belt,CONFIRMED,5.259,1P,10.7395,Lam+2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
9092,main belt,CONFIRMED,7.226,1P,14.4540,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
9171,main belt,CONFIRMED,7.013,1P,,,VIRGIN,,FIRST-DETERMINATION
9214,main belt,CONFIRMED,2.391,1P,,,VIRGIN,,FIRST-DETERMINATION
9594,main belt,CANDIDATE,2.8866,1P,,,VIRGIN,,FIRST-DETERMINATION
10017,main belt,CONFIRMED,12.05,1P,,,VIRGIN,,FIRST-DETERMINATION
10031,main belt,CANDIDATE,2.5017,1P,5.0029,Cellino+2024;Lam+2023;Ďurech&Hanuš2023;Ďurech+2022a,CONTESTED,,HARMONIC-RESOLUTION
10164,main belt,CANDIDATE,3.3126,2P,3.3136,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
10226,main belt,CONFIRMED,5.06,1P,10.1278,McNeill+2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
10292,Baptistina,CONFIRMED,2.419,1P,8.9652,Lam+2023,PUBLISHED_SINGLE,,SUPERSEDES-LIT
10451,main belt,CONFIRMED,5.089,1P,,,VIRGIN,,FIRST-DETERMINATION
10667,Hungaria,CONFIRMED,20.2932,Sq,,,VIRGIN,,FIRST-DETERMINATION
10707,main belt (survey),CANDIDATE,94.2856,2P,31.73,MPB 51-3,PUBLISHED_SINGLE,,CONFIRMATION
10708,Koronis,CANDIDATE,3.098,2P,,,VIRGIN,,FIRST-DETERMINATION
11861,main belt,CANDIDATE,4.897,2P,4.8970,Hanuš+2021;Lam+2023;Ďurech+2022a,CONTESTED,,CONFIRMATION
12209,main belt,CANDIDATE,18.2064,2P,,,VIRGIN,,FIRST-DETERMINATION
