Number,Name,date_first,date_last,phase_first,phase_last,PABLon,PABLat,Period_h,PE,Amp,AE,Grp,U,Cls,Sid
5463,Danwelcher,2025 05/07,2025 07/15,26.4,5.8,280.0,-5.0,60.07,2.8,0.45,,MB,2,FD,
5465,Chumakov,2021 08/21,2021 10/11,15.3,4.5,7.0,-3.0,3.218,0.0088,,,Koronis,2,C,
5480,1989 YK8,2021 08/21,2025 04/16,10.1,3.3,354.0,-6.0,23.11,0.46,0.36,,MB,2,HR,
5504,Lanzerotti,2020 07/31,2021 11/05,11.1,8.3,328.0,-17.0,13.952,0.16,0.2,,MB,2,FD,
5576,Albanese,2019 12/25,2023 11/10,8.6,2.9,110.0,7.0,12.094,0.12,0.14,,MB,2,FD,
5768,Pittich,2021 04/02,2022 08/31,6.5,9.5,198.0,-10.0,8.14,0.055,0.71,,MB,2,C,
5793,Ringuelet,2023 10/12,2023 11/10,16.7,5.1,54.0,-9.0,3.0396,0.0077,0.18,,MB,2,C,
5805,Glasgow,2022 09/30,2023 12/06,7.3,20.0,17.0,15.0,5.185,0.02,0.79,,MB,2,C,
5809,Kulibin,2021 09/07,2021 09/13,2.8,1.9,349.0,-4.0,4.182,0.053,0.28,,Koronis,2,C,
5975,Otakemayumi,2020 08/05,2023 05/02,6.5,8.6,206.0,-9.0,12.262,0.12,0.16,,MB,2,C,
5977,1992 TH1,2024 07/15,2024 08/09,6.5,8.5,302.0,8.0,42.44,1.5,,,MB,2,C,
6079,Gerokurat,2019 12/25,2024 11/20,6.2,6.0,349.0,8.0,15.696,0.21,0.34,,Ursula,2,HR,sid
6343,1993 VK,2019 04/25,2021 11/05,7.2,4.6,233.0,-10.0,14.117,0.17,0.1,,Veritas,2,S,
6658,Akiraabe,2022 05/06,2023 11/10,3.3,8.2,34.0,-6.0,2.665,0.0058,0.47,,MB,2,HR,
6782,1990 SU10,2023 09/21,2023 11/10,17.2,3.3,41.0,4.0,3.927,0.013,0.17,,Hoffmeister,2,FD,
6808,Plantin,2021 08/21,2021 10/11,20.3,1.1,15.0,-2.0,7.996,0.054,0.36,,MB,2,S,
6978,Hironaka,2021 05/10,2025 05/06,5.8,7.8,214.0,-8.0,4.634,0.019,0.48,,Cameron,2,C,
7056,Kierkegaard,2020 03/08,2025 05/05,4.0,9.4,204.0,5.0,61.906,3.2,0.6,,Agnia,2,C,sid
7068,Minowa,2020 09/08,2022 03/25,4.7,9.6,169.0,8.0,144.992,20.0,0.57,,MB,2,HR,
7605,Cindygraber,2019 12/25,2021 04/01,8.2,10.7,113.0,11.0,11.9368,0.11,0.62,,MB,2,FD,
7607,Billmerline,2023 09/20,2023 10/15,6.1,5.6,10.0,-2.0,38.774,1.3,0.57,,Hoffmeister,2,FD,
7612,1996 CN2,2025 04/10,2025 05/06,3.5,8.1,204.0,9.0,13.0243,0.13,0.31,,Veritas,2,HR,
7887,Bratfest,2022 09/30,2023 12/06,10.1,22.0,14.0,18.0,55.856,2.3,0.37,,MB,2,FD,
8049,Janvier,2023 09/20,2023 10/15,11.1,1.8,26.0,1.0,3.214,0.0086,0.32,,Koronis,2,C,
8265,1986 RB5,2020 11/20,2023 09/30,4.7,15.7,343.0,-6.0,89.552,8.5,0.66,,MB,2,FD,
8450,Egorov,2019 12/25,2023 11/10,7.0,3.2,44.0,6.0,5.306,0.023,0.69,,Padua,2,FD,
8602,Oedicnemus,2020 01/30,2022 11/25,4.1,5.0,57.0,9.0,5.259,0.023,0.38,,MB,2,HR,
9092,Nanyang,2020 10/22,2021 12/29,5.7,5.0,112.0,-2.0,7.226,0.041,0.14,,MB,2,HR,
9171,Carolyndiane,2022 03/01,2023 08/23,9.2,14.2,312.0,-20.0,7.013,0.041,0.31,,MB,2,FD,
9214,1995 UC6,2021 09/16,2024 09/30,23.5,7.1,42.0,9.0,2.391,0.0049,0.18,,MB,2,FD,
10017,Jaotsungi,2023 08/27,2026 07/10,13.1,10.3,351.0,-10.0,12.05,0.14,0.1,,MB,2,FD,
10226,Seishika,2019 04/26,2024 10/25,9.5,3.4,232.0,-5.0,5.06,0.022,0.33,,MB,2,HR,
10292,1986 PM,2021 10/19,2024 09/22,11.0,8.2,48.0,7.0,2.419,0.007,0.15,,Baptistina,2,S,
10451,1975 SE,2023 07/01,2024 11/20,7.4,8.5,42.0,9.0,5.089,0.022,0.36,,MB,2,FD,
12315,1992 FA2,2021 08/21,2025 08/19,14.9,8.4,308.0,-7.0,2.781,0.0065,0.28,,Padua,2,FD,
13382,1998 XC4,2021 08/21,2021 09/04,2.0,4.3,333.0,1.0,1.868,0.0049,0.2,,Koronis,2,FD,
13388,1999 AE6,2019 11/03,2025 03/11,5.3,11.1,154.0,-18.0,305.594,69.0,0.34,,MB,2,HR,sid
14039,1995 KZ1,2023 03/11,2023 04/05,8.8,5.0,190.0,-12.0,2.641,0.0057,0.28,,Ursula,2,FD,
14720,2000 CQ85,2019 11/03,2019 11/26,6.2,8.8,46.0,14.0,108.08,10.0,0.68,,MB,2,C,
15315,Sundin,2018 08/17,2025 08/19,23.0,21.7,323.0,-30.0,12.942,0.19,0.6,,Phocaea,2,C,
15427,Shabas,2022 08/05,2025 04/14,7.0,4.7,317.0,17.0,39.45,1.4,0.23,,MB,2,FD,
15991,1998 YH3,2023 09/29,2025 04/08,19.7,8.4,41.0,6.0,61.02,4.6,0.6,,MB,2,C,
16513,Vasks,2021 02/09,2025 02/03,7.0,6.6,150.0,-13.0,12.52,0.13,0.08,,MB,2,S,
18067,2000 AB98,2020 11/30,2022 04/21,6.8,9.8,202.0,18.0,4.773,0.019,0.12,,MB,2,S,
18070,2000 AC205,2019 11/29,2025 05/06,11.7,11.6,202.0,6.0,111.7,9.6,0.48,,Phocaea,2,FD,sid
19013,2000 RN76,2020 07/05,2020 07/13,8.9,6.6,294.0,-10.0,4.437,0.055,0.19,,Cameron,2,FD,
19144,1989 UP1,2021 08/21,2021 10/11,32.9,24.5,53.0,-6.0,5.2896,0.024,0.13,,MB,2,FD,
19169,1991 FD,2018 10/19,2024 07/26,14.4,12.2,45.0,-27.0,87.546,6.2,0.62,,Phocaea,2,C,sid
19290,Schroeder,2021 10/04,2021 11/05,24.5,11.5,63.0,-7.0,65.015,3.6,0.66,,Phocaea,2,FD,sid
22719,Nakadori,2021 10/14,2021 11/05,12.7,4.3,53.0,-3.0,4.777,0.021,0.26,,Padua,2,FD,
22790,1999 KP4,2020 08/26,2022 05/07,19.6,22.8,349.0,-25.0,19.262,0.36,0.56,,MB,2,FD,
24417,2000 BK5,2023 09/21,2025 04/27,21.6,8.8,45.0,-2.0,3.783,0.012,0.24,,MB,2,C,
29909,1999 JE8,2022 07/24,2023 11/10,11.1,8.2,35.0,-7.0,14.38,0.17,0.42,,Phocaea,2,C,
29931,1999 JL44,2021 03/07,2021 03/24,8.0,6.2,181.0,-16.0,2.2917,0.0063,,,Ursula,2,HR,
30482,2000 OG45,2021 04/29,2026 02/28,6.8,7.5,225.0,-18.0,4.335,0.015,0.23,,Ursula,2,FD,
30968,1995 AM1,2018 09/24,2018 10/24,25.2,25.0,21.0,-35.0,4.151,0.018,0.18,,Phocaea,2,A,
32253,2000 OP51,2021 04/17,2026 02/28,8.4,6.4,172.0,-15.0,6.938,0.043,0.49,,MB,2,C,
33717,1999 LS26,2020 08/26,2021 12/22,11.0,6.9,98.0,-1.0,50.31,2.2,0.4,,MB,2,A,
50545,2000 ER17,2020 01/30,2022 11/13,8.3,8.0,144.0,13.0,3.182,0.011,0.17,,MB,2,FD,
