num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
6603,Ledger-v18,223.394,2P,CONFIRMED,2,2.69,0.1418,6.72,CONVENTION,survived,True,False
6614,Ledger-v18,120.4324,2P,CANDIDATE,1,4.96,0.0977,2.5,CONVENTION,survived,True,True
66949,Ledger-v18,4.7744,1P,CANDIDATE,1,114.85,0.0074,0.01,NONE(1P),survived,False,False
6710,Ledger-v18,3.701,2P,CANDIDATE,1,160.87,0.0032,0.0,MEASURED,survived,True,True
67508,Ledger-v18,23.7916,2P,CANDIDATE,1,21.14,0.0194,0.1,CONVENTION,survived,False,False
6900,Ledger-v18,57.4344,2P,CANDIDATE,1,10.25,0.0378,0.46,CONVENTION,survived,False,False
7129,Ledger-v18,12.182,2P,CANDIDATE,1,40.55,0.01,0.03,CONVENTION,survived,False,False
7251,Ledger-v18,4.7866,2P,CANDIDATE,1,121.35,0.0042,0.0,CONVENTION,survived,False,False
7466,Ledger-v18,4.8808,1P,CANDIDATE,1,122.76,0.0074,0.02,NONE(1P),survived,False,False
7631,Ledger-v18,102.6636,2P,CANDIDATE,1,4.99,0.1176,2.56,CONVENTION,survived,False,False
8377,Ledger-v18,45.0459,1P,CANDIDATE,1,13.45,0.0656,1.26,NONE(1P),survived,False,False
8378,Ledger-v18,11.794,2P,CONFIRMED,2,50.35,0.0084,0.02,MEASURED,survived,False,False
8464,Ledger-v18,15.862,2P,CONFIRMED,2,35.61,0.0116,0.04,CONVENTION,survived,False,False
8472,Ledger-v18,13.631,1P,CONFIRMED,2,43.08,0.02,0.12,NONE(1P),survived,False,False
8707,Ledger-v18,2.6372,1P,CANDIDATE,1,207.29,0.0042,0.0,NONE(1P),survived,False,False
8835,Ledger-v18,3.166,2P,CONFIRMED,2,170.47,0.0032,0.0,MEASURED,survived,False,False
8850,Ledger-v18,12.8086,2P,CANDIDATE,1,28.51,0.0158,0.04,CONVENTION,survived,False,False
8984,Ledger-v18,21.1211,1P,CANDIDATE,1,26.77,0.0341,0.31,NONE(1P),,False,False
9141,Ledger-v18,7.7226,2P,CANDIDATE,1,82.29,0.0053,0.01,MEASURED,,False,False
9149,Ledger-v18,9.868,2P,CONFIRMED,2,44.21,0.0105,0.02,MEASURED,,False,False
9403,Ledger-v18,4.3203,1P,CANDIDATE,1,140.58,0.0068,0.01,NONE(1P),survived,False,False
9447,Ledger-v18,68.9546,1P,CANDIDATE,1,8.67,0.0966,2.83,NONE(1P),survived,False,False
9543,Ledger-v18,4.6308,2P,CANDIDATE,1,106.03,0.0042,0.0,CONVENTION,,False,False
9859,Ledger-v18,7.3324,1P,CANDIDATE,1,77.6,0.0105,0.03,NONE(1P),survived,False,False
9947,Ledger-v18,4.9532,2P,CANDIDATE,1,126.79,0.0042,0.0,CONVENTION,,False,False
