num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
3520,Beltwide3,5.7934,2P,CANDIDATE,1,105.32,0.0042,0.01,MEASURED,,False,False
7605,Beltwide3,11.9368,2P,CONFIRMED,2,52.82,0.0079,0.02,UNSTATED,,False,False
2352,Beltwide3,41.181,2P,CANDIDATE,2,14.42,0.0294,0.26,UNSTATED,survived,False,False
15427,Beltwide3,39.45,1P,CONFIRMED,4,14.17,0.0704,1.18,NONE(1P),survived,False,False
2601,Beltwide3,191.52,ambiguous,CANDIDATE,2,3.11,0.2946,23.96,NONE(1P),survived,False,False
4763,Beltwide4,91.4,2P,CONFIRMED,2,6.73,0.0599,1.16,CONVENTION,inconclusive,False,False
1588,Beltwide4,4.606,2P,CONFIRMED,1,42.66,0.0105,0.01,UNSTATED,,False,False
11861,Beltwide4,4.897,2P,CANDIDATE,1,65.94,0.0137,0.01,UNSTATED,survived,False,False
1053,Beltwide4,3.664,2P,CONFIRMED,3,160.08,0.0032,0.0,CONVENTION,survived,False,False
3810,Beltwide4,3.857,1P,CONFIRMED,3,161.54,0.0058,0.01,NONE(1P),inconclusive,False,False
2521,Beltwide4,41.58,2P,CANDIDATE,1,13.68,0.031,0.27,UNSTATED,survived,False,False
3707,Beltwide4,30.59,2P,CONFIRMED,2,15.88,0.0278,0.18,CONVENTION,survived,False,False
2168,Beltwide4,7.353,2P,CANDIDATE,1,79.77,0.0058,0.01,UNSTATED,survived,False,False
3158,Beltwide4,10.328,2P,CONFIRMED,2,59.1,0.0074,0.02,UNSTATED,survived,False,False
2116,Beltwide4,3.5381,2P,CONFIRMED,1,172.71,0.0032,0.0,UNSTATED,survived,False,False
3405,Beltwide4,13.997,2P,CONFIRMED,3,43.15,0.011,0.03,UNSTATED,survived,False,False
2553,Beltwide4,5.374,1P,CONFIRMED,1,83.09,0.0095,0.02,NONE(1P),survived,False,False
3840,Beltwide4,45.098,2P,CONFIRMED,1,5.97,0.0788,0.75,CONVENTION,survived,False,False
7068,Beltwide4,144.992,2P,CONFIRMED,2,3.59,0.1113,3.43,UNSTATED,survived,False,False
33717,Beltwide4,50.31,2P,CONFIRMED,4,11.54,0.0352,0.38,UNSTATED,survived,False,False
13388,Beltwide4,305.594,2P,CONFIRMED,3,2.2,0.2027,13.15,UNSTATED,survived,False,False
2826,Beltwide4,7.181,1P,CANDIDATE,2,51.02,0.0231,0.07,NONE(1P),,False,False
4331,Beltwide4,73.68,1P,CANDIDATE,1,8.2,0.1113,3.48,NONE(1P),survived,False,False
3184,Beltwide4,33.46,1P,CONFIRMED,2,18.73,0.0488,0.69,NONE(1P),survived,False,False
4088,Beltwide4,6.454,2P,CONFIRMED,2,98.04,0.0047,0.01,UNSTATED,survived,False,False
5805,Beltwide4,5.185,2P,CONFIRMED,2,129.77,0.0037,0.0,UNSTATED,survived,False,False
1381,Beltwide4,5.258,2P,CONFIRMED,5,119.89,0.0037,0.0,UNSTATED,survived,False,False
2690,Beltwide4,2.66,1P,CONFIRMED,6,238.22,0.0037,0.0,NONE(1P),survived,False,False
4164,Beltwide4,109.468,2P,CANDIDATE,1,5.19,0.083,1.93,UNSTATED,survived,False,False
7588,Beltwide5,17.7,1P,CANDIDATE,2,16.86,0.0551,0.41,NONE(1P),,False,False
5818,Beltwide5,10.23,2P,CANDIDATE,1,45.65,0.0095,0.02,UNSTATED,,False,False
3768,Beltwide5,28.1551,1P,CANDIDATE,1,21.95,0.0362,0.43,NONE(1P),survived,False,False
6286,Beltwide5,13.2124,1P,CANDIDATE,1,42.89,0.0179,0.1,NONE(1P),survived,False,False
4617,Beltwide5,14.9178,2P,CANDIDATE,1,25.79,0.0179,0.06,UNSTATED,survived,False,False
10164,Beltwide5,3.3126,2P,CANDIDATE,1,76.93,0.0063,0.0,UNSTATED,survived,False,False
4203,Beltwide5,6.7662,2P,CANDIDATE,1,89.38,0.0058,0.01,MEASURED,survived,False,False
16785,Beltwide5,139.885,1P,CANDIDATE,2,4.53,0.1922,11.42,NONE(1P),survived,False,False
5113,Beltwide5,4.7572,2P,CANDIDATE,1,129.86,0.0042,0.0,MEASURED,,False,False
5600,Beltwide5,3.5056,1P,CANDIDATE,2,184.42,0.0047,0.01,NONE(1P),,False,False
5480,Beltwide5,23.11,2P,CONFIRMED,3,24.91,0.0152,0.07,UNSTATED,survived,False,False
46992,Beltwide5,53.8038,2P,CANDIDATE,2,10.87,0.0378,0.43,UNSTATED,survived,False,False
2538,Beltwide5,53.422,2P,CONFIRMED,2,11.41,0.0347,0.39,UNSTATED,inconclusive,False,False
5768,Beltwide5,8.14,2P,CONFIRMED,2,74.02,0.0063,0.01,UNSTATED,survived,False,False
13081,Beltwide5,2.719,1P,CANDIDATE,4,214.11,0.0058,0.01,NONE(1P),survived,False,False
5162,Beltwide5,12.756,2P,CONFIRMED,3,49.68,0.0089,0.02,UNSTATED,survived,False,False
5504,Beltwide5,13.952,1P,CONFIRMED,2,43.41,0.0189,0.11,NONE(1P),survived,False,False
