num,family,status,shape,P_adopted_h,P_phot_h,fourier_order,T0_jd,amp_folded_mag,rms_resid_mag,n_pts,n_sessions,jd_first,jd_last,span_days,cycles_covered,low_confidence,n_apparitions,amp_per_apparition,amp_last_apparition,source,alcdef_T0_jd,alcdef_amp_folded_mag,dT0_h,damp_mag,discrepant
3137,Ledger-v16,CANDIDATE,1P,72.478,72.478,2,2460212.487454959,0.22403615103765506,0.10070858696690123,6362,1,2460210.6724850424,2460233.380193447,22.707708404865116,7.519316229983758,False,1,2460221.453:0.224,0.22403615103765973,raw,,,,,
3158,Beltwide4,CONFIRMED,2P,10.328,5.164,2,2459447.7851005113,0.4999050152094513,0.33020201242773534,5057,2,2459447.6986035113,2459498.8897312433,51.191127731930465,118.95691959395151,False,1,2459473.169:0.500,0.4999050152094489,alcdef+raw,2459447.7853161665,0.5002322356713862,-0.005175724625587463,-0.0003272204619348962,False
3168,Beltwide6,CONFIRMED,1P,3.237,3.237,2,2459937.2184750796,0.18918745243788088,0.22516664443102774,7648,3,2459447.7344038533,2459949.769622917,502.0352190635167,3722.225905938956,False,2,2459469.466:0.232;2459943.693:0.209,0.20925714151727193,alcdef+raw,2459937.150902625,0.18885333481237043,-1.6152610930502416,0.0003341176255104439,True
3184,Beltwide4,CONFIRMED,1P,33.46,33.46,3,2460160.9079588563,0.11317527620863074,0.03603335054075333,8625,2,2459665.2791484585,2460181.2927758656,516.013627407141,370.1233430296289,False,2,2459674.461:0.821;2460170.342:0.113,0.11316220260948805,alcdef+raw,2460160.908655917,0.11327046520477003,-0.016729451715946198,-9.51889961392921e-05,False
3208,Themis,CONFIRMED,1P,7.472,7.472,6,2460261.301538966,0.35231012776226867,1.0024487084581926,11982,3,2459449.4876856892,2460801.94621876,1352.4585330709815,4344.085223996728,False,3,2459463.879:0.374;2460272.675:1.596;2460795.131:0.101,0.100548298025586,alcdef+raw,2460261.7080876664,0.16724255999598914,-2.285168807089328,0.18506756776627953,True
3231,Ledger-v16,CANDIDATE,2P,21.506,10.753,3,2459853.4219507473,0.39455363732830795,0.0657059286640425,9066,1,2459853.3596729557,2459881.396945551,28.037272595334798,31.288688844417145,False,1,2459867.887:0.395,0.3945536373283087,raw,,,,,
3239,Ledger-v17,CANDIDATE,2P,6.4736,3.2368,5,2460208.424820832,0.8882303703873897,0.40103976501968186,8724,1,2460208.359815099,2460233.40266169,25.042846591211855,92.8429804419619,False,1,2460220.993:0.888,0.8882303703874009,raw,,,,,
3246,Beltwide8,CONFIRMED,2P,7.184,3.592,2,2459255.5311169988,0.18600847148905147,0.09801270869717876,3186,2,2459255.4175199987,2459717.3968664794,461.9793464806862,1543.3608457038515,False,2,2459267.292:0.223;2459708.137:0.232,0.231828338989203,alcdef+raw,2459255.531117,0.18605283125137206,-3.3527612686157227e-08,-4.435976232058936e-05,False
3278,Beltwide6,CONFIRMED,1P,5.621,5.621,2,2460235.3336184425,0.1885254007905535,0.4163096553895248,15820,2,2460234.3663280057,2460285.398600448,51.03227244224399,217.89264163206826,False,1,2460260.270:0.189,0.18852540079055663,alcdef+raw,2460235.3387714997,0.20819507879035049,-0.12367337197065353,-0.01966967799979699,True
3294,Ledger-v17,CANDIDATE,1P,4.3009,4.3009,2,2460261.1464745174,0.1544666445783353,0.4058437296210325,11671,2,2460260.9202095824,2460802.321226596,541.4010170134716,3021.140786422218,False,2,2460273.802:0.083;2460795.091:0.241,0.24081275002191666,raw,,,,,
3371,Beltwide3,CANDIDATE,1P,64.848,64.848,2,2459255.5709156767,0.3044471430988347,0.11955069696163236,2318,1,2459255.4595646923,2459279.9806985073,24.521133814938366,9.075179058082297,False,1,2459267.221:0.304,0.3044471430988369,raw,,,,,
3396,Beltwide6,CONFIRMED,1P,61.963,61.963,6,2459448.4809266212,0.13401517335144256,0.41145792773126816,9048,4,2459036.2861493905,2459523.779215198,487.4930658075027,188.8196759256341,False,2,2459048.324:0.064;2459485.214:0.116,0.11592691779850443,alcdef+raw,2459448.492544833,0.1317480140430511,-0.27883708477020264,0.00226715930839147,False
3405,Beltwide4,CONFIRMED,2P,13.997,6.9985,2,2460692.108755939,0.08629556670434632,0.5010472479393148,17864,3,2459255.820573902,2460717.1588190803,1461.3382451781072,2505.6882106361772,False,3,2459262.835:0.063;2460245.607:0.083;2460704.165:0.104,0.10375438686386988,alcdef+raw,2460692.39481975,0.08489862449698005,-6.865531459450722,0.0013969422073662752,True
3440,Ledger-v16,CONFIRMED,2P,158.432,79.216,4,2460214.001780411,0.2822362385092251,0.4695226058964199,18870,3,2459769.9107962837,2460259.3969161627,489.486119878944,74.1495839041018,False,2,2459781.498:0.304;2460232.939:0.405,0.40483567585986985,raw,,,,,
3469,Beltwide,CONFIRMED,2P,180.875,90.4375,3,2459259.1719757416,0.8780008538017462,0.06753948203645767,2340,1,2459255.543171054,2459279.980435426,24.437264371663332,3.2425395710845613,False,1,2459267.200:0.878,0.8780008538017389,alcdef+raw,2459262.9402048546,0.8779685753272598,-90.43749871104956,3.227847448639132e-05,True
3475,Ledger-v16,CONFIRMED,1P,12.533,12.533,2,2461113.220079029,0.22604489776133693,0.23744040419454654,5930,2,2459780.598132066,2461126.404200953,1345.8060688870028,2577.143992123839,False,2,2459787.360:0.308;2461119.559:0.284,0.28401123619911095,raw,,,,,
3477,Beltwide2,CONFIRMED,2P,8.4,4.2,2,2460232.188890498,0.14693150993187978,0.12302205825750993,8279,2,2460232.067265498,2460259.396816123,27.32955062482506,78.08443035664303,False,1,2460246.669:0.147,0.1469315099318771,alcdef+raw,2460232.1888900003,0.1469353162433833,1.1947005987167358e-05,-3.806311503512516e-06,False
3520,Beltwide3,CANDIDATE,2P,5.7934,2.8967,2,2459144.7531417045,0.12660175031579327,0.12215330290627875,2687,1,2459144.522371271,2459169.945687896,25.423316624946892,105.31977750521722,False,1,2459157.489:0.127,0.12660175031579424,raw,,,,,
3532,Beltwide6,CONFIRMED,1P,12.316,12.316,2,2460803.4117695717,0.10083554252782406,0.797865463975377,16430,4,2459036.2861493905,2460829.268261962,1792.982112571597,3493.956698742963,False,3,2459047.907:0.083;2459472.558:0.059;2460815.663:0.501,0.500960141855589,alcdef+raw,2460803.018683917,0.08461141342548933,-2.8819442842006686,0.016224129102334728,True
3545,Koronis,CONFIRMED,2P,4.832,2.416,2,2459527.0152536463,0.2108567040042095,0.35094996093685704,2866,2,2459526.8999903128,2459578.397074742,51.497084429021925,255.78022067394994,False,1,2459539.804:0.211,0.21085670400420845,alcdef+raw,2459526.9137813332,0.2086879529997997,-2.396664486795664,0.0021687510044098024,True
3594,Beltwide8,CONFIRMED,2P,4.608,2.304,2,2459937.146313776,0.22175164245802054,0.125977754700651,7258,2,2459465.3209809745,2459962.398554079,497.0775731042959,2588.9456932515413,False,2,2459467.984:0.244;2459949.487:0.242,0.24218055055449672,alcdef+raw,2459937.146314,0.22122811415856342,-5.375593900680542e-06,0.0005235282994571211,False
3630,Dora,CONFIRMED,2P,9.33,4.665,2,2459447.8817753284,0.3373477517411857,0.3050357904743988,2925,2,2459447.7015897036,2459482.563956264,34.862366560380906,89.67811333860041,False,1,2459466.809:0.337,0.33734775174118525,alcdef+raw,2459448.07595625,0.3341330978145912,-4.6603421196341515,0.0032146539265944796,True
3636,Ledger-v17,CANDIDATE,1P,2.571,2.571,2,2460213.033600479,0.13054834356117723,0.25204359655559727,13581,2,2460213.026637354,2460802.0874349275,589.0607975735329,5498.817246894122,False,2,2460223.660:0.267;2460788.940:0.299,0.29907638229528116,raw,,,,,
3650,Beltwide7,CANDIDATE,2P,12.3672,6.1836,2,2458904.335074266,0.39699745474923154,0.07179160971137104,705,1,2458904.328117716,2458926.390251505,22.0621337890625,42.814154451896954,False,1,2458915.151:0.397,0.39699745474922865,raw,,,,,
3707,Beltwide4,CONFIRMED,2P,30.59,15.295,2,2459967.3368100766,0.3062256197343478,0.05759576218829902,7473,2,2458552.6611853065,2459987.396979409,1434.7357941023074,1125.6508355166843,False,2,2458556.890:2.957;2459977.099:0.306,0.306125956527481,alcdef+raw,2459967.974101333,0.3061452781479669,-15.294990152120588,8.034158638092759e-05,True
3716,Ledger-v17,CONFIRMED,2P,10.472,5.236,4,2459447.8866472067,0.4332350003792428,0.37399830624344205,4834,2,2459447.6996783735,2459498.8901925404,51.19051416683942,117.31974216999104,False,1,2459472.246:0.433,0.4332350003792437,raw,,,,,
3741,Ledger-v18,CONFIRMED,2P,32.36,16.18,2,2460506.7609884283,0.36381597399820853,0.5485248027335472,14691,3,2459144.841820681,2461002.098420839,1857.2566001578234,1377.4461805867663,False,3,2459157.242:0.316;2460520.046:0.558;2460996.553:0.103,0.10347580886274224,raw,,,,,
